what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1364418001938
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1364418001953
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1364418002013
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1364418002086
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1364418002087
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1364418002098
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1364418002134
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1364418002135
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1364418005463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364418050685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364418052324
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364418258678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364418262295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364419913276
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1364419913328
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364419914211
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1364419929936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364419938042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364419979087
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364419979188
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364419979429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364419982465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364420004433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364420046681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364420359178
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364420359367
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364420363157
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1364420368213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364420375128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364420477312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364420480688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364420480873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364420485100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364420686825
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364420691700
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1364420696523
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.17,"org.tigris.subversion.clientadapter.javahl",1364420696548
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.15,"org.tigris.subversion.clientadapter.svnkit",1364420696565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1364420696920
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364420697316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1364420699484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364420704549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364420704714
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364420707947
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364420710783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364420717274
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1364420727928
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1364420728744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1364420736351
